City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
249,Hervey Bay,AU,86.0,scattered clouds,-25.3,152.85,Shelly Bay Resort
250,Cabo San Lucas,MX,64.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
251,Port Augusta,AU,99.0,clear sky,-32.49,137.76,Majestic Oasis Apartments
254,Fare,PF,82.0,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
256,Miri,NG,49.24,scattered clouds,10.31,9.75,Focus Guest Inn
257,Sachse,US,54.0,clear sky,32.98,-96.6,Holiday Inn Dallas - Garland
259,Dolores,UY,62.02,clear sky,-33.53,-58.22,Hostal Del Espinillo
260,Luderitz,,69.8,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
261,Broome,GB,45.0,broken clouds,52.47,1.45,Angel House B & B
262,San Rafael,AR,69.58,clear sky,-34.61,-68.33,Hotel San Rafael
263,Cascais,PT,53.01,mist,38.7,-9.42,Hotel Vila Galé Cascais
264,San Pedro De Ycuamandiyu,PY,74.62,scattered clouds,-24.09,-57.08,Hotel Refugio
267,Andujar,ES,44.01,clear sky,38.04,-4.05,Hotel del Val
269,Comodoro Rivadavia,AR,59.0,clear sky,-45.87,-67.48,Austral Hotel
271,Ancud,CL,53.6,clear sky,-41.87,-73.83,HOTEL ANCUD DON LUCAS
272,Marystown,CA,37.99,broken clouds,47.17,-55.16,Marystown Hotel & Convention Centre
275,Tombouctou,ML,54.46,clear sky,16.77,-3.01,Hôtel Sahara Passion
277,Eydhafushi,MV,82.36,light rain,5.1,73.07,Soneva Fushi
279,Gikongoro,RW,64.54,broken clouds,-2.46,29.57,Ubumwe Center Kigeme Ltd
280,Vardo,US,35.01,clear sky,39.62,-77.74,Holiday Inn Express & Suites Hagerstown
281,Saint George,GR,39.99,few clouds,39.45,22.34,MX PARK KYPARISSOS
282,La Asuncion,AR,61.48,light rain,-26.05,-65.39,LA ASUNCION
283,Leua,AO,68.68,overcast clouds,-11.65,20.45,
285,Dingle,PH,83.44,scattered clouds,11.0,122.67,Camp Pasica
286,Numan,NG,58.96,broken clouds,9.46,12.04,Zangun Motel
288,Tezu,IN,68.5,overcast clouds,27.93,96.16,Circuit House
290,Alta Floresta,BR,70.84,overcast clouds,-9.87,-56.08,Floresta Amazonica Hotel
291,Sorland,NO,39.2,moderate rain,67.67,12.69,Sjybrygga fiskecamp
293,Half Moon Bay,US,55.0,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
294,Maceio,BR,75.2,light rain,-9.67,-35.74,Mercure Maceio Pajucara Hotel
296,Buraydah,SA,57.2,overcast clouds,26.33,43.97,Mövenpick Hotel Qassim
297,Santa Cruz,BR,71.2,broken clouds,-6.22,-36.02,Pousada Trairi
298,Goderich,CA,37.0,overcast clouds,43.74,-81.71,Harmony Inn
299,Mumbwa,ZM,72.1,overcast clouds,-14.99,27.06,Mumbwa Motel
301,Faanui,PF,81.82,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
302,Pauini,BR,73.0,overcast clouds,-7.71,-67.0,Hotel Tatyane
303,Middelburg,NL,39.2,mist,51.5,3.61,Amadore Hotel Restaurant Arneville
304,Taoudenni,ML,46.54,scattered clouds,22.68,-3.98,
305,Do Gonbadan,IR,48.2,broken clouds,30.36,50.8,مهمانسرا و تالار فرهنگیان شهرستان گچساران
306,Klaksvik,FO,44.6,light rain,62.23,-6.59,Airbnb rooms
309,Sawakin,SD,74.8,overcast clouds,19.1,37.33,Arab Plaza Hotel عرب بلازا هوتيل
310,Bandarbeyla,SO,78.94,few clouds,9.49,50.81,REER XOOSHLE GROUP
311,Kavaratti,IN,87.8,scattered clouds,10.57,72.64,Hotels in Lakshadweep Islands
312,Onda,ES,46.4,clear sky,39.96,-0.26,Motel Shhh
313,Bereda,ES,46.0,few clouds,43.27,-7.54,Pazo de Verdes
315,Raudeberg,NO,52.0,broken clouds,61.99,5.14,Nordre Silda.
316,Estelle,FR,37.4,overcast clouds,43.97,3.47,Gîte du Moulin
317,Chongwe,ZM,73.4,broken clouds,-15.33,28.68,Farm KS
319,Marsa Matruh,EG,48.2,scattered clouds,31.35,27.25,Beau Site
320,Baturaja,ID,88.48,scattered clouds,-4.12,104.17,Penginapan Symfoni House
321,Prestea,GH,71.74,broken clouds,5.43,-2.14,Channel 5
322,Marica,BR,80.6,overcast clouds,-22.92,-42.82,Marica Hills
323,Nogales,CL,51.8,clear sky,-32.73,-71.2,Hostería Joley
324,Pisco,PE,69.8,broken clouds,-13.71,-76.2,Hostal San Isidro Oficial
325,Halifax,CA,35.01,overcast clouds,44.65,-63.58,Hotel Halifax
327,Bubaque,GW,77.5,overcast clouds,11.28,-15.83,Casa Dora
329,Santa Maria,BR,69.8,scattered clouds,-16.02,-48.01,HOTEL BRASILIA PARK / NOVO GAMA - GO
331,Tocopilla,CL,52.12,clear sky,-22.09,-70.2,Hotel Galvarino
332,Mount Gambier,AU,73.4,broken clouds,-37.83,140.78,Best Western Southgate Motel
335,Ballitoville,ZA,77.0,broken clouds,-29.54,31.21,Hotel Fairmont Zimbali Resort
336,Cockburn Town,TC,78.04,clear sky,21.46,-71.14,Osprey Beach Hotel
337,Serenje,ZM,68.86,overcast clouds,-13.23,30.22,Rosechi Lodge
338,Hualmay,PE,66.7,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
339,Zhaoqing,CN,72.0,overcast clouds,23.05,112.47,七星岩旅游度假区
340,Kloulklubed,PW,84.2,broken clouds,7.04,134.26,Storyboard Beach Resort
341,Kourou,GF,69.8,scattered clouds,5.16,-52.64,Lodge Takini 4
342,Panama City,US,60.01,light intensity drizzle,30.16,-85.65,Courtyard by Marriott Panama City
343,Develi,TR,35.6,broken clouds,38.39,35.49,Grand Erciyes Otel
344,Xai-Xai,MZ,84.88,overcast clouds,-25.04,33.64,Pensao Africana
346,Hofn,IS,37.72,light snow,64.25,-15.21,Hótel Höfn
347,Bongandanga,CD,77.32,overcast clouds,1.51,21.07,
350,Thohoyandou,ZA,76.06,overcast clouds,-22.97,30.46,Avkhom Hotel
351,Borba,BR,73.0,light rain,-4.39,-59.59,Hotel da Amazônia
352,Chihuahua,MX,45.0,overcast clouds,28.66,-106.08,Casa Grande Chihuahua
354,Shingu,JP,51.8,few clouds,33.72,135.99,新宮ユーアイホテル
355,Vigrestad,NO,44.6,light intensity drizzle,58.57,5.7,Brusand Camping
356,Mar Del Plata,AR,63.64,clear sky,-46.43,-67.52,Hotel Costanera Del Sur
357,Alyangula,AU,95.0,broken clouds,-13.85,136.42,Groote Eylandt Lodge
358,Yenagoa,NG,71.56,broken clouds,4.92,6.26,Amba Hotels Limited
361,Cayenne,GF,69.8,scattered clouds,4.94,-52.33,Hôtel Le Dronmi
362,Maragogi,BR,79.66,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
363,Labuhan,ID,86.14,moderate rain,-2.54,115.51,Pondok Indah Gula Habang
365,Nome,US,60.01,drizzle,30.04,-94.42,Silver Spur Mobile Home & RV Park
366,Zittau,CZ,35.01,clear sky,50.9,14.81,The Dresden Court Hotel (Dresdner Hof)
367,Edissiya,RU,37.0,overcast clouds,44.04,44.55,
368,San Quintin,PH,87.04,clear sky,17.54,120.52,San Quintin River Resort
369,Guadalajara,ES,39.99,clear sky,40.63,-3.16,Hotel España
370,Pucallpa,PE,75.2,broken clouds,-8.38,-74.54,Manish Hotel Ecológico
371,Chalus,IR,53.6,scattered clouds,36.66,51.42,نظام مهندسي ساختمان چالوس
372,Knysna,ZA,68.0,overcast clouds,-34.04,23.05,Protea Hotel by Marriott Knysna Quays
373,Oxford,US,46.0,clear sky,33.61,-85.83,Courtyard by Marriott Anniston Oxford
374,Rio Branco,BR,73.4,broken clouds,-9.98,-67.82,João Paulo Hotel
375,Conceicao Do Araguaia,BR,71.74,light rain,-8.26,-49.26,Tarumã Tropical Hotel
377,Xinpu,CN,51.94,broken clouds,27.63,119.93,Xinpu Hotel
378,Sabha,LY,41.14,clear sky,27.03,14.43,محطة سفر غات
379,Bowen,AU,87.8,clear sky,-20.01,148.25,Rose Bay Resort
380,Camopi,GF,65.98,scattered clouds,3.17,-52.33,
381,Khipro,PK,64.0,broken clouds,25.83,69.38,"Habib Chishti House, Khipro"
382,Barreirinhas,BR,75.7,overcast clouds,-2.75,-42.83,Gran Lençóis Flat Residence
383,Kerema,PG,87.94,broken clouds,-7.96,145.78,Elore Lodge
386,Irawan,PH,89.6,scattered clouds,9.8,118.69,Romy's Place
387,Vangaindrano,MG,85.42,clear sky,-23.35,47.6,
389,El Alto,BO,42.8,broken clouds,-16.5,-68.19,Hotel El Retorno
391,Te Anau,NZ,59.32,clear sky,-45.41,167.72,Kingsgate Hotel Te Anau
392,Shouguang,CN,43.12,scattered clouds,36.88,118.73,Communications Hotel
394,Goba,ET,56.08,broken clouds,7.01,39.97,Goba Wabe Shebelle Hotel
396,Nola,CF,67.06,broken clouds,3.52,16.05,
397,Nisia Floresta,BR,77.0,light rain,-6.09,-35.21,Rancho Crepusculo
400,Dullewala,PK,59.5,overcast clouds,31.84,71.44,Alamdar Hotel
401,Guarapari,BR,77.0,scattered clouds,-20.67,-40.5,Hotel Porto do Sol
402,Avera,US,46.99,clear sky,33.19,-82.53,
403,Bosaso,SO,82.4,clear sky,11.28,49.18,Red Sea Hotel
407,Riyadh,SA,60.8,overcast clouds,24.63,46.72,Al Salam Hotel
408,Don Sak,TH,90.0,light rain,9.32,99.69,Sea Sun Moon Hostel
409,Moen,BE,37.99,mist,50.77,3.4,'t Bed & de Tafel
410,Rabat,MA,50.0,broken clouds,34.02,-6.83,Hotel Mercure Rabat Sheherazade
411,The Valley,AI,77.0,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
412,Axim,GH,74.62,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
413,Sao Miguel Do Araguaia,BR,71.74,moderate rain,-13.28,-50.16,Hotel Executivo Palace
415,Montrose,GB,46.4,overcast clouds,56.71,-2.47,Park Hotel
418,Utete,TZ,83.98,overcast clouds,-7.99,38.76,Kindwitwi guesthouse
419,Zhangye,CN,36.28,clear sky,38.94,100.46,Zhangye Lvzhou Holiday Inn
420,Road Town,VG,75.99,heavy intensity rain,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
424,Buncrana,GB,45.82,overcast clouds,55.14,-7.45,Inishowen Gateway Hotel
425,Boyolangu,ID,86.14,moderate rain,-8.09,111.9,Hotel Istana
426,Binzhou,CN,40.96,broken clouds,37.38,117.96,Linhang Hotel
428,Port Arthur,US,57.2,drizzle,29.9,-93.93,Americas Best Value Inn & Suites Groves Port Arthur
429,Pierre,US,37.99,overcast clouds,44.37,-100.35,Ramkota Hotel
431,Padang,ID,84.7,overcast clouds,-0.92,100.36,Mercure Padang
435,Arlit,NE,42.76,clear sky,18.74,7.39,Hôtel Telwa Bungalow
436,Carballo,ES,46.0,few clouds,43.21,-8.69,Pazo do Souto
437,Vila,IT,37.99,fog,45.18,8.4,Parcheggio camper Coniolo
439,Ixtapa,MX,64.99,moderate rain,20.71,-105.21,Container Inn Puerto Vallarta
440,Lazaro Cardenas,MX,45.0,overcast clouds,28.39,-105.62,Hotel Los Naranjos
441,Port Antonio,JM,78.8,few clouds,18.18,-76.45,Trident Hotel
442,Port Keats,AU,92.26,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
443,Itarema,BR,76.06,broken clouds,-2.92,-39.92,Windvillage
444,Russell,US,42.01,clear sky,38.9,-98.86,Quality Inn
445,Ambilobe,MG,81.64,overcast clouds,-13.19,49.05,Hôtel & Restaurant DIANA Ambilobe
447,Balkanabat,TM,45.64,broken clouds,39.51,54.36,Nebitchi Hotel
449,Inyonga,TZ,71.74,overcast clouds,-6.72,32.06,Eden Rock Lodge
450,Santa Ana,MX,44.01,scattered clouds,30.54,-111.12,Hotel Los Cisnes Santa Ana
451,Tolaga Bay,NZ,70.48,scattered clouds,-38.37,178.3,Tolaga Bay Motel
452,Lobito,AO,78.8,broken clouds,-12.35,13.55,Casa Rosa Hotel Residence
453,Gaoua,BF,60.4,clear sky,10.33,-3.18,Auberge Donsamby
454,Meulaboh,ID,81.46,broken clouds,4.14,96.13,Kost Pria
455,Santa Lucia,IT,46.0,clear sky,41.98,12.66,B&B Torraccetto
457,Antofagasta,CL,66.2,broken clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
458,Itoman,JP,68.0,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
459,Valle Hermoso,MX,61.0,overcast clouds,25.67,-97.82,Hotel Santa Fe
460,Pitimbu,BR,77.0,few clouds,-7.47,-34.81,Reserva do Abiaí
461,Sola,TZ,69.94,overcast clouds,-3.17,33.8,Peace Hotel
462,Sabinas,MX,56.62,overcast clouds,27.85,-101.13,Gran Hotel Sabinas
464,Isangel,VU,80.6,broken clouds,-19.55,169.27,Volcano Sea View Tree House
465,Waingapu,ID,84.34,light rain,-9.65,120.26,Pondok Wisata Elim
