City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3hours),Snow Inches (last 3hours)
53,Elko,US,2020-01-02 06:34:44,40.83,-115.76,33.8,74,90,3.36,overcast clouds,0.0,0.0
54,Mataura,NZ,2020-01-02 06:34:44,-46.19,168.86,61.0,66,15,8.99,few clouds,0.0,0.0
55,Barabinsk,RU,2020-01-02 06:34:44,55.35,78.35,31.42,93,100,10.13,light snow,0.0,0.13
56,Torbay,CA,2020-01-02 06:34:45,47.66,-52.73,36.0,91,90,8.05,light rain,0.0,0.0
57,Albany,US,2020-01-02 06:34:45,42.65,-73.75,33.01,81,75,5.82,broken clouds,0.0,0.0
58,Miles City,US,2020-01-02 06:34:45,46.41,-105.84,34.0,93,90,5.82,overcast clouds,0.0,0.0
59,Atuona,PF,2020-01-02 06:34:46,-9.8,-139.03,80.38,73,0,16.42,clear sky,0.0,0.0
60,Saint-Pierre,FR,2020-01-02 06:34:46,48.95,4.24,37.99,100,90,11.41,light rain,0.0,0.0
61,Hasaki,JP,2020-01-02 06:34:46,35.73,140.83,51.8,45,40,3.36,scattered clouds,0.0,0.0
62,Vaini,IN,2020-01-02 06:34:46,15.34,74.49,80.6,47,40,3.36,scattered clouds,0.0,0.0
63,Lata,IN,2020-01-02 06:34:47,30.78,78.62,17.74,63,100,5.1,overcast clouds,0.0,0.0
64,Cururupu,BR,2020-01-02 06:34:47,-1.82,-44.87,74.44,97,99,2.77,light rain,0.88,0.0
65,Noumea,NC,2020-01-02 06:33:40,-22.28,166.46,80.6,54,75,19.46,broken clouds,0.0,0.0
66,Ondangwa,NA,2020-01-02 06:34:47,-17.91,15.98,75.2,83,75,4.7,broken clouds,0.0,0.0
67,Tigao,PH,2020-01-02 06:34:48,9.21,126.18,81.28,69,76,7.61,light rain,0.44,0.0
68,Teya,MX,2020-01-02 06:34:48,21.05,-89.07,73.4,88,5,8.05,clear sky,0.0,0.0
